,Region Code,Region Name,iso_code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
3969,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,All,Age_all,[All],20.0,3.44827586,20.3408731,21.607139
7035,CSA,Central and South America,ARG,Argentina,2014,All,Age_all,[All],28333.0,8.79811201,47.9448453,66.45087702
8946,AS,Asia,ARM,Armenia,2014,All,Age_all,[All],1339.0,4.83149311,31.20703791,44.42838519
12978,OA,Oceania,AUS,Australia,2014,All,Age_all,[All],10539.0,6.86222164,22.19264133,44.83891305
16758,EU,Europe,AUT,Austria,2014,All,Age_all,[All],2991.0,3.82226652,14.18526134,35.00730109
20160,NAC,North America and the Caribbean,BHS,Bahamas,2014,All,Age_all,[All],52.0,2.40852246,16.72226281,14.03005129
21483,AS,Asia,BHR,Bahrain,2014,All,Age_all,[All],54.0,2.00371058,9.66918238,4.10783211
26334,EU,Europe,BLR,Belarus,2014,All,Age_all,[All],1308.0,1.0761712,8.35176757,13.80546183
30198,EU,Europe,BEL,Belgium,2014,All,Age_all,[All],6165.0,5.88516061,21.5441361,54.91088093
33159,CSA,Central and South America,BLZ,Belize,2014,All,Age_all,[All],69.0,4.34782609,30.8434171,19.52649661
33726,EU,Europe,BIH,Bosnia and Herzegovina,2014,All,Age_all,[All],1203.0,3.34352418,17.84775297,31.43172692
36372,CSA,Central and South America,BRA,Brazil,2014,All,Age_all,[All],66937.0,5.45516483,33.70276045,33.01231292
37590,AS,Asia,BRN,Brunei Darussalam,2014,All,Age_all,[All],76.0,5.17006803,37.22589532,18.54703504
40803,EU,Europe,BGR,Bulgaria,2014,All,Age_all,[All],2408.0,2.21014759,15.68022582,33.33362173
45024,NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],16585.0,6.40790353,21.32821956,46.50303747
48804,CSA,Central and South America,CHL,Chile,2014,All,Age_all,[All],6101.0,5.98371911,24.53667339,34.35449116
52143,CSA,Central and South America,COL,Colombia,2014,All,Age_all,[All],16857.0,8.02519388,36.91712926,35.89062576
55545,CSA,Central and South America,CRI,Costa Rica,2014,All,Age_all,[All],1226.0,6.04238541,23.05843029,25.5661889
57435,EU,Europe,HRV,Croatia,2014,All,Age_all,[All],1817.0,3.57402781,17.3352938,42.87006219
60459,NAC,North America and the Caribbean,CUB,Cuba,2014,All,Age_all,[All],4163.0,4.32160282,21.61512587,36.81821301
61278,AS,Asia,CYP,Cyprus,2014,All,Age_all,[All],371.0,6.69795992,22.2584844,43.48508965
63105,EU,Europe,CZE,Czechia,2014,All,Age_all,[All],3726.0,3.52623858,16.98560621,35.40215509
67137,EU,Europe,DNK,Denmark,2014,All,Age_all,[All],3912.0,7.67164121,29.98072076,69.36515809
70287,NAC,North America and the Caribbean,DMA,Dominica,2014,All,Age_all,[All],15.0,2.44299674,,
73584,NAC,North America and the Caribbean,DOM,Dominican Republic,2014,All,Age_all,[All],2415.0,5.37454934,27.28595199,23.75756541
76608,CSA,Central and South America,ECU,Ecuador,2014,All,Age_all,[All],2720.0,4.3187628,18.9084631,17.05132449
78309,AF,Africa,EGY,Egypt,2014,All,Age_all,[All],23295.0,4.37987907,43.9651681,26.83409761
79821,CSA,Central and South America,SLV,El Salvador,2014,All,Age_all,[All],1368.0,3.65053103,22.84022343,21.73109109
81837,EU,Europe,EST,Estonia,2014,All,Age_all,[All],282.0,1.822883,9.8152062,21.45228958
86562,EU,Europe,FIN,Finland,2014,All,Age_all,[All],1605.0,3.06245111,11.77257366,29.38746902
90657,EU,Europe,FRA,France,2014,All,Age_all,[All],21563.0,3.9592889,11.88955679,33.62415952
92295,CSA,Central and South America,GUF,French Guiana,2014,All,Age_all,[All],18.0,2.30769231,13.27722274,7.06511287
94059,AS,Asia,GEO,Georgia,2014,All,Age_all,[All],837.0,1.70513578,13.29310435,22.45774081
95634,EU,Europe,DEU,Germany,2014,All,Age_all,[All],41204.0,4.74505848,18.36289029,50.88012842
99036,EU,Europe,GRC,Greece,2014,All,Age_all,[All],7134.0,6.27219975,20.40465626,65.49539407
100548,NAC,North America and the Caribbean,GRD,Grenada,2014,All,Age_all,[All],15.0,1.5560166,11.62498839,13.77385172
101619,NAC,North America and the Caribbean,GLP,Guadeloupe,2014,All,Age_all,[All],87.0,2.65324794,10.37648917,21.67878519
106218,CSA,Central and South America,GUY,Guyana,2014,All,Age_all,[All],127.0,2.28952587,20.96656625,16.6365375
109998,AS,Asia,HKG,"China, Hong Kong SAR",2014,All,Age_all,[All],2349.0,5.13891927,14.65982534,32.49187357
113778,EU,Europe,HUN,Hungary,2014,All,Age_all,[All],5828.0,4.61411787,28.54633863,59.06875693
117810,EU,Europe,ISL,Iceland,2014,All,Age_all,[All],97.0,4.73632813,15.77078792,29.62867934
117957,AS,Asia,IRN,Iran (Islamic Republic of),2014,All,Age_all,[All],10317.0,3.78158653,18.95881911,13.31814039
122136,EU,Europe,IRL,Ireland,2014,All,Age_all,[All],2338.0,7.99261589,30.76095214,50.53120442
124656,AS,Asia,ISR,Israel,2014,All,Age_all,[All],2361.0,5.5987669,18.42976734,28.73777447
128688,EU,Europe,ITA,Italy,2014,All,Age_all,[All],31378.0,5.24128485,14.93577103,51.61777252
130578,NAC,North America and the Caribbean,JAM,Jamaica,2014,All,Age_all,[All],672.0,3.66812227,21.02070895,23.37278302
134673,AS,Asia,JPN,Japan,2014,All,Age_all,[All],81001.0,6.36298079,15.63144975,64.57761975
136689,AS,Asia,KAZ,Kazakhstan,2014,All,Age_all,[All],13271.0,10.06179158,89.250561,76.75930109
138579,AS,Asia,KOR,Republic of Korea,2014,All,Age_all,[All],11949.0,4.46371203,15.33979693,23.53872468
140847,AS,Asia,KWT,Kuwait,2014,All,Age_all,[All],76.0,1.26015586,7.29386725,1.88144658
142863,AS,Asia,KGZ,Kyrgyzstan,2014,All,Age_all,[All],1399.0,3.9351917,38.75789545,23.97265438
145068,EU,Europe,LVA,Latvia,2014,All,Age_all,[All],343.0,1.21626893,8.14685168,17.20348564
147084,EU,Europe,LTU,Lithuania,2014,All,Age_all,[All],703.0,1.74649707,10.51859931,23.97380683
150108,EU,Europe,LUX,Luxembourg,2014,All,Age_all,[All],180.0,4.8582996,16.19396719,32.35553702
150927,AS,Asia,MDV,Maldives,2014,All,Age_all,[All],123.0,10.63094209,52.0926129,28.27488707
154014,EU,Europe,MLT,Malta,2014,All,Age_all,[All],156.0,4.7706422,16.24373561,36.49797273
155274,NAC,North America and the Caribbean,MTQ,Martinique,2014,All,Age_all,[All],77.0,2.32347616,8.2299602,20.20265626
158676,AF,Africa,MUS,Mauritius,2014,All,Age_all,[All],631.0,6.6857385,46.19771771,51.75249023
158865,AF,Africa,MYT,Mayotte,2014,All,Age_all,[All],18.0,3.06122449,14.62971578,7.70369863
162960,CSA,Central and South America,MEX,Mexico,2014,All,Age_all,[All],33211.0,5.37310487,30.68256621,27.59417114
164997,EU,Europe,MDA,Republic of Moldova,2014,All,Age_all,[All],831.0,2.10411708,17.41728884,23.36634521
169785,EU,Europe,NLD,Netherlands,2014,All,Age_all,[All],7284.0,5.23189416,18.78418118,43.19001805
173880,OA,Oceania,NZL,New Zealand,2014,All,Age_all,[All],2138.0,6.86048004,24.51417972,46.80869976
174510,CSA,Central and South America,NIC,Nicaragua,2014,All,Age_all,[All],1028.0,4.57926856,25.6536276,16.73522738
179991,EU,Europe,NOR,Norway,2014,All,Age_all,[All],2426.0,6.01328574,21.6987626,47.2220638
183330,CSA,Central and South America,PAN,Panama,2014,All,Age_all,[All],958.0,5.27213692,23.78621029,24.55582914
184296,CSA,Central and South America,PRY,Paraguay,2014,All,Age_all,[All],964.0,3.57367933,19.82220114,14.60710966
185598,CSA,Central and South America,PER,Peru,2014,All,Age_all,[All],6750.0,6.99779181,25.24408322,22.43243426
187236,AS,Asia,PHL,Philippines,2014,All,Age_all,[All],29925.0,5.57263608,47.62962343,29.96267554
190638,EU,Europe,POL,Poland,2014,All,Age_all,[All],8066.0,2.14255167,10.94616073,21.2228788
194229,EU,Europe,PRT,Portugal,2014,All,Age_all,[All],5869.0,5.57788992,18.83811218,56.42693025
197379,NAC,North America and the Caribbean,PRI,Puerto Rico,2014,All,Age_all,[All],1740.0,5.77076148,24.69697273,50.38115953
198261,AF,Africa,REU,R?union,2014,All,Age_all,[All],207.0,4.75971488,18.62574542,24.15512491
201726,EU,Europe,ROU,Romania,2014,All,Age_all,[All],7677.0,3.01100151,19.25575284,38.54602409
203931,EU,Europe,RUS,Russian Federation,2014,All,Age_all,[All],39022.0,2.07780563,16.69974989,27.19170626
206136,NAC,North America and the Caribbean,KNA,Saint Kitts and Nevis,2014,All,Age_all,[All],13.0,3.15533981,,
208530,NAC,North America and the Caribbean,LCA,Saint Lucia,2014,All,Age_all,[All],59.0,4.53149002,27.59989989,33.09103962
210672,NAC,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,2014,All,Age_all,[All],22.0,2.21105528,18.44066328,20.20925768
211932,EU,Europe,SRB,Serbia,2014,All,Age_all,[All],4016.0,3.96653728,25.97893127,56.31127234
213003,AF,Africa,SYC,Seychelles,2014,All,Age_all,[All],29.0,4.0,35.34930358,31.74290437
216279,AS,Asia,SGP,Singapore,2014,All,Age_all,[All],515.0,2.82392937,9.54308625,13.30495288
217665,EU,Europe,SVK,Slovakia,2014,All,Age_all,[All],1078.0,2.09952284,11.86378745,19.89425778
219555,EU,Europe,SVN,Slovenia,2014,All,Age_all,[All],528.0,2.7957217,10.28552083,25.61089006
221109,AF,Africa,ZAF,South Africa,2014,All,Age_all,[All],18607.0,4.10424387,51.91389193,34.1136267
225162,EU,Europe,ESP,Spain,2014,All,Age_all,[All],33750.0,8.52638759,24.32711222,72.65075392
227682,AS,Asia,LKA,Sri Lanka,2014,All,Age_all,[All],9350.0,7.29414518,43.47482351,44.97676625
230349,CSA,Central and South America,SUR,Suriname,2014,All,Age_all,[All],75.0,2.38095238,16.08536126,13.55569493
234402,EU,Europe,SWE,Sweden,2014,All,Age_all,[All],3702.0,4.15665491,14.53814625,38.18026189
238434,EU,Europe,CHE,Switzerland,2014,All,Age_all,[All],2623.0,4.10722954,12.62616981,31.96440849
243348,AS,Asia,THA,Thailand,2014,All,Age_all,[All],15228.0,3.49567517,19.7926799,23.44380969
247380,AS,Asia,TUR,T?rkiye,2014,All,Age_all,[All],30220.0,7.8779363,39.55593471,39.15426579
249333,AS,Asia,TKM,Turkmenistan,2014,All,Age_all,[All],1082.0,3.40776668,16.88079463,19.79390918
251286,EU,Europe,UKR,Ukraine,2014,All,Age_all,[All],9792.0,1.54864178,12.71218697,22.86164047
255381,EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2014,All,Age_all,[All],43231.0,7.57985135,28.42603033,66.9244175
259476,NAC,North America and the Caribbean,USA,United States of America,2014,All,Age_all,[All],202621.0,7.71472782,34.05006322,63.58265014
262962,CSA,Central and South America,URY,Uruguay,2014,All,Age_all,[All],1982.0,6.17022601,29.76249427,58.28664324
264810,AS,Asia,UZB,Uzbekistan,2014,All,Age_all,[All],2319.0,1.54846722,12.31526737,7.53958305
268401,CSA,Central and South America,VEN,Venezuela (Bolivarian Republic of),2014,All,Age_all,[All],6237.0,3.84703161,26.51933103,20.76026576
269157,CSA,Central and South America,GTM,Guatemala,2014,All,Age_all,[All],2135.0,2.74396905,20.94179071,13.40807861
292425,AS,Asia,MYS,Malaysia,2014,All,Age_all,[All],4489.0,5.80236541,19.94398657,14.61808963
294882,AS,Asia,OMN,Oman,2014,All,Age_all,[All],254.0,3.24849725,16.36275184,6.36130244
297675,AS,Asia,QAT,Qatar,2014,All,Age_all,[All],37.0,1.56382079,11.47606204,1.50455555
,AS,Asia,CHN,China,2014,All,Age_all,[All],1037574,10.62,,
,AS,Asia,IND,India,2014,All,Age_all,[All],1090000,10.9,,